Brand,Model,Year,Category,Rating,displacement_cc,power_hp,torque_nm,engine_cyl,engine_stroke,Gearbox,bore_mm,stroke_mm,fuel_cap_lts,fuel_control,cooling,trans_type,dry_weight_kg,wheelbase_mm,seat_height_mm,front_tire,rear_tire,trevors_fav
Kawasaki,ninja zx-14r abs,2020,Sport,3.7,1441,207,158,In-Line Four,Four-Stroke,6-Speed,84,65,22,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1481,800,120/70-ZR17,190/50-ZR17,No
Kawasaki,ninja zx-14r brembo ohlins,2020,Sport,3.5,1441,207,158,In-Line Four,Four-Stroke,6-Speed,84,65,22,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1480,800,120/70-ZR17,190/50-ZR17,No
Kawasaki,ninja zx-6r,2020,Sport,3.5,636,126,70.8,In-Line Four,Four-Stroke,6-Speed,67,45.1,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1400,830,120/70-ZR17,180/55-ZR17,No
Kawasaki,ninja zx-6r performance,2020,Sport,NA,636,126,71,In-Line Four,Four-Stroke,6-Speed,67,45.1,17,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1395,830,120/70-ZR17,180/55-ZR17,No
Kawasaki,rouser 200ns,2020,Naked Bike,NA,199.5,24.1,18.3,Single Cylinder,Four-Stroke,6-Speed,NA,NA,12,Single Overhead Cams (Sohc),Liquid,Chain,NA,NA,NA,100/80-17,130/70-17,No
Kawasaki,rouser rs200,2020,Sport,NA,199.5,24.1,18.6,Single Cylinder,Four-Stroke,6-Speed,NA,NA,13,Single Overhead Cams (Sohc),Liquid,Chain,165,1355,NA,100/80-17,130/70-17,No
Kawasaki,versys 1000,2020,Allround,3.3,1043,120,102,In-Line Four,Four-Stroke,6-Speed,77,56,21,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1520,840,120/70-ZR17,180/55-ZR17,No
Kawasaki,versys 1000 grand tourer,2020,Allround,NA,1043,118,102,In-Line Four,Four-Stroke,6-Speed,77,56,21,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1520,840,120/70-ZR17,180/55-ZR17,No
Kawasaki,versys 1000 se,2020,Allround,3.3,1043,120,102,In-Line Four,Four-Stroke,6-Speed,77,56,21,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1520,840,120/70-ZR17,180/55-ZR17,No
Kawasaki,versys 1000 se lt plus,2020,Sport Touring,NA,1043,120,102,In-Line Four,Four-Stroke,6-Speed,77,56,20.82,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1519,841,120/70-17,180/55-17,No
Kawasaki,versys 1000 tourer,2020,Sport Touring,NA,1043,118,102,In-Line Four,Four-Stroke,6-Speed,77,56,21,Double Overhead Cams/Twin Cam (Dohc),Liquid,Chain,NA,1520,840,120/70-ZR17,180/55-ZR17,No
